Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Machikado Mazoku,Yoshida Yuuko_sports,シャミ子【運動会】,小原好美,m,w,1,2020/5/28,,,195,X,,,
Magic of Stella,Honda Tamaki_sports,たまき【運動會】,長縄まりあ,f,w,1,2020/5/28,,,195,X,,,
Anne Happy,Ekoda Ren,江古田 蓮,吉岡茉祐,f,w,0,2020/6/13,,,179,X,,,
GA Geijutsuka Art Design Class,Oomichi Miyabi_77,キョージュ【七夕】,名塚佳織,e,w,1,2020/6/23,,,169,X,,,
Kirara Fantasia,Lamp_77,ランプ【七夕】,高野麻里佳,s,p,1,2020/6/23,,,169,X,,,
School-Live!,Shidou Kei,祠堂圭,木村珠莉,w,m,0,2020/6/24,,,168,X,,,
Comic Girls,Katsuki Tsubasa_77,翼【七夕】,高橋李依,m,m,1,2020/6/27,,,165,X,,,
Yuru Camp,Saito Ena_77,恵那【七夕】,高橋李依,m,k,1,2020/6/27,,,165,X,,,
K-ON!,Nakano Azusa,中野 梓,竹達彩奈,w,m,0,2018/10/3,2019/3/13,2019/7/24,161,133,,,
Machikado Mazoku,Yoshida Yuuko,吉田 優子,小原好美,m,p,0,2019/9/11,2020/2/13,2020/6/23,155,131,,,
Shoulder-a-Coffin Kuro,Kuro,クロ,金澤まい,m,a,0,2019/4/11,2019/9/11,2019/11/21,153,71,,,
Slow Start,Enami Kiyose,榎並 清瀬,沼倉愛美,e,p,0,2020/7/9,,,153,X,,,
Slow Start,Ichinose Hana,一之瀬 花名,近藤玲奈,s,k,0,2020/7/11,,,151,X,,,
Slow Start,Momochi Tamate,百地 たまて,伊藤彩沙,s,a,0,2020/7/11,,,151,X,,,
Anima Yell!,Hatoya Kohane,鳩谷 こはね,尾崎由香,f,m,0,2018/12/21,2019/5/15,2019/7/24,145,70,,,
Blend S,Amano Miu,天野 美雨,種﨑敦美,m,a,0,2020/7/16,,,146,X,,,
Magic of Stella,Fuda Yumine,布田 裕美音,前川涼子,m,p,0,2020/7/16,,,146,X,,,
Sansha Sanyou,Nishikawa Youko,西川 葉子,和久井優,w,m,0,2019/3/28,2019/8/8,2019/11/21,133,105,,,
Hidamari Sketch,Yuno_swimsuit,ゆの【水著】,阿澄佳奈,s,k,1,2020/7/29,,,133,X,,,
Sansha Sanyou,Odagiri Futaba_swimsuit,双葉【水着】,金澤まい,e,p,1,2020/7/29,,,133,X,,,
Yuyushiki,Hinata Yukari_swimsuit,縁【水著】,種田梨沙,e,w,1,2020/7/29,,,133,X,,,
Yuyushiki,Hinata Yukari,日向 縁,種田梨沙,m,m,0,2019/6/26,2019/11/1,2020/7/9,128,251,,,
Kiniro Mosaic,Inokuma Youko_swimsuit,陽子【水著】,内山夕実,s,m,1,2020/8/3,,,128,X,,,
Sakura Trick,Takayama Haruka_swimsuit,春香【水著】,戸松遙,w,k,1,2020/8/3,,,128,X,,,
GA Geijutsuka Art Design Class,Yamaguchi Kisaragi,山口 如月,戸松遙,e,p,0,2019/4/11,2019/8/8,2019/11/21,119,105,,,
Comic Girls,Koizuka Koyume_swimsuit,小夢【水著】,本渡楓,m,k,1,2020/8/12,,,119,X,,,
Is the Order a Rabbit?,Hoto cocoa_swimsuit,ココア【水著】,佐倉綾音,e,a,1,2020/8/12,,,119,X,,,
Koufuku Graffiti,Machiko Ryou_swimsuit,リョウ【水著】,佐藤利奈,e,p,1,2020/8/12,,,119,X,,,
A Channel,Nishi Yuuko_swimsuit,ユー子【水著】,寿美菜子,s,w,1,2020/8/17,,,114,X,,,
Machikado Mazoku,Hinatsuki Mikan_swimsuit,ミカン【水著】,高柳知葉,s,m,1,2020/8/17,,,114,X,,,
Koufuku Graffiti,Machiko Ryou,町子 リョウ,佐藤利奈,f,a,0,2020/2/13,2020/5/28,,105,195+,,,
Anima Yell!,Sawataki Uki,猿渡 宇希,井澤美香子,f,w,0,2020/8/27,,,104,X,,,
Harukana Receive,Narumi Toi,遠井 成美,島袋美由利,f,k,0,2020/8/27,,,104,X,,,
Acchi Kocchi,Miniwa Tsumiki,御庭 つみき,大久保瑠美,e,w,0,2020/9/10,,,90,X,,,
Slow Start,Tokura Eiko,十倉 栄依子,嶺内ともみ,e,m,0,2020/9/12,,,88,X,,,
Kirara Fantasia,Cardamom,カルダモン,田村睦心,f,w,1,2020/9/19,,,81,X,,,
Tamayomi,Takeda Yomi,武田 詠深,前田佳織里,w,m,0,2020/6/9,2020/8/27,,79,104+,,,
Asteroid in Love,Konohata Mira,木ノ幡 みら,高柳知葉,m,a,0,2020/3/14,2020/5/28,,75,195+,,,
Anne Happy,Hanakoizumi An_sanrio,はなこ【クロミ】,花守ゆみり,m,a,1,2020/9/29,,,71,X,,,
Kiniro Mosaic,Alice Cartelet_sanrio,アリス【シナモロール】,田中真奈美,a,p,1,2020/9/29,,,71,X,,,
Sakura Trick,Sonoda Yuu_sanrio,優【ポムポムプリン】,井口裕香,w,m,1,2020/9/29,,,71,X,,,
Sansha Sanyou,Shino Sonobe_sanrio,薗部【ぐでたま】,桃河りか,s,k,1,2020/9/29,,,71,X,,,
Slow Start,Sengoku Kamuri_sanrio,冠【マイメロディ】,長縄まりあ,e,w,1,2020/9/29,,,71,X,,,
